Банк;Финансовый рейтинг;Название вклада;Ставка (%);Минимальная сумма вклада (руб);Максимальная сумма вклада (руб);Минимальный срок вклада (дни);Максимальный срок вклада (дни);Возможность пополнения;Возможность расторжения;Частичное снятие;Выплата процентов;Капитализация;Возможность пролонгации;Условия снятия;Условия пополнения;Особые условия;Ссылка
Банк ГПБ (АО);3;Тройная ставка;5.50;250000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['вклад принимается от физических лиц в рамках предоставления комплексного продукта, предусматривающего заключение договора срочного банковского вклада Тройная ставка, при одновременном выполнении следующих условий: оформление договора инвестиционного страхования жизни  одной из страховых компаний  партнеров банка', 'оформления договора негосударственного пенсионного обеспечения далее  договор НПО с Негосударственным пенсионным фондом ГАЗФОНД пенсионные накопления АО оплаты вкладчиком в тот же день и в том же подразделении банка страховой премии в полном объеме по договору ИСЖ и первого пенсионного взноса по договору НПО', 'предоставления вкладчиком поручения на получение информации о статусе договора ИСЖ и договора НПО действует не действует общая сумма денежных средств, размещаемых в комплексный продукт, распределяется следующим образом: 50 во вклад, 40 в договор ИСЖ, 10 в договор НПО'];https://www.banki.ru/products/deposits/deposit/20050/
Банк ГПБ (АО);3;Тройная ставка;5.50;250000;;367;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['вклад принимается от физических лиц в рамках предоставления комплексного продукта, предусматривающего заключение договора срочного банковского вклада Тройная ставка, при одновременном выполнении следующих условий: оформление договора инвестиционного страхования жизни  одной из страховых компаний  партнеров банка', 'оформления договора негосударственного пенсионного обеспечения далее  договор НПО с Негосударственным пенсионным фондом ГАЗФОНД пенсионные накопления АО оплаты вкладчиком в тот же день и в том же подразделении банка страховой премии в полном объеме по договору ИСЖ и первого пенсионного взноса по договору НПО', 'предоставления вкладчиком поручения на получение информации о статусе договора ИСЖ и договора НПО действует не действует общая сумма денежных средств, размещаемых в комплексный продукт, распределяется следующим образом: 50 во вклад, 40 в договор ИСЖ, 10 в договор НПО'];https://www.banki.ru/products/deposits/deposit/20050/
Банк ГПБ (АО);3;Успех;4.50;15000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/20147/
Банк ГПБ (АО);3;Для первых;4.00;15000;;91;;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17750/
Банк ГПБ (АО);3;Для первых;4.10;15000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17750/
Банк ГПБ (АО);3;Для первых;4.20;15000;;270;;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17750/
Банк ГПБ (АО);3;Чемпионский;4.00;50000;;181;;нет;по ставке до востребования;невозможно;проценты вперед;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/19936/
Банк ГПБ (АО);3;Чемпионский;4.20;50000;;365;;нет;по ставке до востребования;невозможно;проценты вперед;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/19936/
Банк ГПБ (АО);3;Для сбережения;3.60;15000;;91;180;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.70;15000;;181;270;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.80;15000;;271;366;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.90;15000;;367;548;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.90;15000;;549;731;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.90;15000;;732;1097;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.70;300000;;91;180;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.80;300000;;181;270;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.90;300000;;271;366;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;4.00;300000;;367;548;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;4.00;300000;;549;731;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;4.00;300000;;732;1097;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.80;1000000;;91;180;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;3.90;1000000;;181;270;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;4.00;1000000;;271;366;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;4.10;1000000;;367;548;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;4.10;1000000;;549;731;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Для сбережения;4.10;1000000;;732;1097;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/17638/
Банк ГПБ (АО);3;Накопительный счет;4.00;5000;;30;;возможно;на льготных условиях;возможно;ежемесячно;ежемесячно по выбору клиента;нет данных;;;;https://www.banki.ru/products/deposits/deposit/19029/
Банк ГПБ (АО);3;На жизнь;3.30;15000;;91;180;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.40;15000;;181;270;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.50;15000;;271;366;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.60;15000;;367;548;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.50;15000;;549;731;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.40;15000;;732;1097;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.40;300000;;91;180;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.50;300000;;181;270;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.60;300000;;271;366;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.70;300000;;367;548;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.60;300000;;549;731;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.50;300000;;732;1097;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.50;1000000;;91;180;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.60;1000000;;181;270;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.70;1000000;;271;366;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.80;1000000;;367;548;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.70;1000000;;549;731;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;На жизнь;3.60;1000000;;732;1097;возможно;по ставке до востребования;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17639/
Банк ГПБ (АО);3;Пенсионные сбережения;3.00;15000;;91;;нет;на льготных условиях;невозможно;в конце срока или ежегодно на текущий счёт или на счёт банковской карты;ежегодно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/16316/
Банк ГПБ (АО);3;Пенсионные сбережения;3.10;15000;;181;;нет;на льготных условиях;невозможно;в конце срока или ежегодно на текущий счёт или на счёт банковской карты;ежегодно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/16316/
Банк ГПБ (АО);3;Пенсионные сбережения;3.30;15000;;366;;нет;на льготных условиях;невозможно;в конце срока или ежегодно на текущий счёт или на счёт банковской карты;ежегодно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/16316/
Банк ГПБ (АО);3;Пенсионные сбережения;3.40;15000;;731;;нет;на льготных условиях;невозможно;в конце срока или ежегодно на текущий счёт или на счёт банковской карты;ежегодно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/16316/
Банк ГПБ (АО);3;Пенсионные сбережения;3.50;15000;;1096;;нет;на льготных условиях;невозможно;в конце срока или ежегодно на текущий счёт или на счёт банковской карты;ежегодно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/16316/
Банк ГПБ (АО);3;Бизнес;3.00;15000;;91;180;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.10;15000;;181;270;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.20;15000;;271;366;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;2.90;15000;;367;548;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;2.80;15000;;549;731;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;2.70;15000;;732;1097;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.10;300000;;91;180;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.20;300000;;181;270;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.30;300000;;271;366;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.00;300000;;367;548;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;2.90;300000;;549;731;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;2.80;300000;;732;1097;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.20;1000000;;91;180;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.30;1000000;;181;270;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.40;1000000;;271;366;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.10;1000000;;367;548;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;3.00;1000000;;549;731;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Бизнес;2.90;1000000;;732;1097;возможно;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;возможна;;;;https://www.banki.ru/products/deposits/deposit/17640/
Банк ГПБ (АО);3;Пенсионный доход;2.60;500;;367;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока;ежеквартально;возможна;;['иные только в порядке безналичного перевода со счетов организаций, осуществляющих пенсионное обеспечение (в т.ч. негосударственное пенсионное обеспечение)'];['вклад открывается при предъявлении пенсионного удостоверения'];https://www.banki.ru/products/deposits/deposit/18136/
ПАО «СКБ-банк»;67;Исполнение желаний с Банки.ру;5.20;10000;100000000;270;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['специальное предложение для посетителей портала Банкиру', 'для открытия вклада необходимо получить промокод, оформив заявку на портале Банкиру'];https://www.banki.ru/products/deposits/deposit/20500/
ПАО «СКБ-банк»;67;Эффективный;6.43;50000;100000000;2555;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/20802/
ПАО «СКБ-банк»;67;Исполнение желаний +;5.20;10000;3000000;270;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/16108/
ПАО «СКБ-банк»;67;Обыкновенное чудо!! (выплата на отдельный счет);2.83;10000;;1080;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;нет;невозможна;;['срок внесения пополнения в течение 90 дней с момента открытия вклада'];"['вклад с ""лестничным"" начислением процентов (до 5,7%)']";https://www.banki.ru/products/deposits/deposit/11134/
ПАО «СКБ-банк»;67;Обыкновенное чудо!! (выплата на отдельный счет);3.00;1000000;100000000;1080;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;нет;невозможна;;['срок внесения пополнения в течение 90 дней с момента открытия вклада'];"['вклад с ""лестничным"" начислением процентов (до 5,7%)']";https://www.banki.ru/products/deposits/deposit/11134/
ПАО «СКБ-банк»;67;Пенсионный!! (выплата на отдельный счет);2.98;1000;;1080;;возможно;на льготных условиях;возможно;ежемесячно на текущий счёт или на счёт банковской карты;нет;нет данных;;['возможно 6   в течение всего срока действия договора производится в сумме, не превышающей размер, установленный тарифным справочником банка, за один календарный месяц', 'в том числе пенсионные и иные выплаты социального характера'];['вклад заключается только при предъявлении пенсионного удостоверения, либо достижения клиентом возраста 54 лет', 'вклад с лестничным начислением процентов до 3,6'];https://www.banki.ru/products/deposits/deposit/1070/
